Discipline,Faculty,Specific Research
Machine Learning/Deep Learning,Debarka Sengupta,"Applied Machine Learning, Bioinformatics and Genomics"
Machine Learning/Deep Learning,Koteswar Rao Jerripothula,"Computer Vision, Image Processing, Multimedia Systems"
Machine Learning/Deep Learning,Md. Shad Akhtar,"Sentiment Analysis, Emotion Analysis, Conversational Dialog Systems"
Machine Learning/Deep Learning,N. Arul Murugan,"ML and DL approaches for Druggability prediction, QM fragmentation based approaches for Druggability prediction, Parallel virtual screening in HPCs and GPUs for accelerated drugs discovery, Flexible docking assisted Drugs discovery, Atomistic simulation of virus-host cell interaction"
Machine Learning/Deep Learning,Rajiv Ratn Shah,Multimodal semantic and sentiment analysis of usergenerated social media content
Machine Learning/Deep Learning,Ranjitha Prasad,"Causal Inference, Survival analysis, and sparsity in Bayesian neural networks"
Machine Learning/Deep Learning,Saket Anand,"Geometric Computer Vision, Semi-supervised learning, Robust methods"
Machine Learning/Deep Learning,Sanjit Krishnan Kaul,"Networking for Cyber Physical Systems, Networks of Autonomous Vehicles, and Autonomous Driving"
Machine Learning/Deep Learning,Sayan Basu Roy,"Adaptive control for uncertain switched systems, Online approximate optimal control using reinforcement learning"
Machine Learning/Deep Learning,Sumit J Darak,"Intelligent, Reconfigurable and Self-sustainable wireless radio, Machine learning for wireless networks, Algorithms to architectures"
Machine Learning/Deep Learning,Tavpritesh Sethi,"Big-data for clinical decision support, Human physiology"
Machine Learning/Deep Learning,Vinayak Abrol,"Acoustic modelling and coding, Voice biometrics"
Machine Learning/Optimisation/Signal Processing,Pravesh Biyani,"Optimisation for signal processing and communications, Machine learning, and transportation"
Natural Language Processing,Md. Shad Akhtar,"Sentiment Analysis, Emotion Analysis, Conversational Dialog Systems"
Natural Language Processing,Rajiv Ratn Shah,Multimodal semantic and sentiment analysis of user-generated social media content
Natural Language Processing,Vinayak Abrol,"Acoustic modelling and coding, Voice biometrics"
Quantum Technologies / Computing,Debajyoti Bera,"Algorithms, Complexity Theory, Quantum Computing"
Quantum Technologies / Computing,Ram Krishna Ghosh,"Computational nanoelectronics, Spintronics, Quantum transport simulation, Device modeling"
Quantum Technologies / Computing,Sayak Bhattacharya,"Electromagnetics, Photonics, Quantum Optics, Quantum Mechanics"
Quantum Technologies / Computing,Sneh Saurabh,"Nanoelectronics, Exploratory Electronic Devices, Energy-Efficient Systems VLSI Design and Verification and CAD for VLSI"
Software Engineering,Pankaj Jalote,"Software quality, process improvement, Higher Education in India"
Software Engineering,Rahul Purandare,"Program Analysis, Program Verification, Software Testing, Automatic Program Repair, Program Optimization, Program Comprehension, and Code Search"
Science and Technology Studies,Paro Mishra,"Gender and Technology, New reproductive Technologies, Digital Technologies, Demographic Anthropology, Intimate Relations, Migration and Transnationalism"
